Files: 1294, Done: 25, Remaining: 1279
[25/1279] 42 OK, 8 err, 3.5MB
[50/1279] 61 OK, 14 err, 16.1MB
[75/1279] 81 OK, 19 err, 22.4MB
[100/1279] 101 OK, 24 err, 26.6MB
[125/1279] 121 OK, 29 err, 34.5MB
[150/1279] 141 OK, 34 err, 43.8MB
[175/1279] 161 OK, 39 err, 49.8MB
[200/1279] 178 OK, 47 err, 56.0MB
[225/1279] 197 OK, 53 err, 62.6MB
[250/1279] 214 OK, 61 err, 69.0MB
[275/1279] 232 OK, 68 err, 79.3MB
[300/1279] 250 OK, 75 err, 85.6MB
[325/1279] 270 OK, 80 err, 89.3MB
[350/1279] 288 OK, 87 err, 102.0MB
[375/1279] 306 OK, 94 err, 107.5MB
[400/1279] 327 OK, 98 err, 117.1MB
[425/1279] 347 OK, 103 err, 119.6MB
[450/1279] 368 OK, 107 err, 123.5MB
[475/1279] 386 OK, 114 err, 133.6MB
[500/1279] 404 OK, 121 err, 138.1MB
[525/1279] 422 OK, 128 err, 139.9MB
[550/1279] 440 OK, 135 err, 143.4MB
[575/1279] 456 OK, 144 err, 151.4MB
[600/1279] 476 OK, 149 err, 157.8MB
[625/1279] 494 OK, 156 err, 165.8MB
[650/1279] 513 OK, 162 err, 169.3MB
[675/1279] 532 OK, 168 err, 173.9MB
[700/1279] 554 OK, 171 err, 187.4MB
[725/1279] 573 OK, 177 err, 191.2MB
[750/1279] 593 OK, 182 err, 196.7MB
[775/1279] 615 OK, 185 err, 204.3MB
[800/1279] 634 OK, 191 err, 208.1MB
[825/1279] 650 OK, 200 err, 210.0MB
[850/1279] 669 OK, 206 err, 217.0MB
[875/1279] 690 OK, 210 err, 222.1MB
[900/1279] 710 OK, 215 err, 241.5MB
[925/1279] 727 OK, 223 err, 248.1MB
[950/1279] 746 OK, 229 err, 258.2MB
[975/1279] 761 OK, 239 err, 261.8MB
[1000/1279] 777 OK, 248 err, 279.4MB
[1025/1279] 790 OK, 260 err, 284.2MB
[1050/1279] 803 OK, 272 err, 295.4MB
[1075/1279] 824 OK, 276 err, 313.0MB
[1100/1279] 839 OK, 286 err, 317.9MB
[1125/1279] 857 OK, 293 err, 334.3MB
[1150/1279] 876 OK, 299 err, 340.0MB
[1175/1279] 888 OK, 312 err, 353.5MB
[1200/1279] 901 OK, 324 err, 360.9MB
[1225/1279] 916 OK, 334 err, 372.4MB
[1250/1279] 928 OK, 347 err, 376.2MB
[1275/1279] 944 OK, 356 err, 382.9MB
DONE: 948 files, 356 errors, 384.0MB
